,Teardrops In My Eye,,,,,
,Homestead On The Farm (I Wonder How The Old Folks Are At Home),,,,,
,She's More To Be Pitied,,,,,
,Maybe You Will Change Your Mind,,,,,
,Love And Wealth,,,,,
,Rosa Lee McFall,,,,,
,True Life Blues,,,,,
,When My Blue Moon Turns To Gold Again,,,,,
,Paddy On The Turnpike (Boys,,,,,
,My Money's All Gone),,,,,
,Canaan's Land,,,,,
,Little Maggie,,,,,
,Two Little Boys,,,,,
1964/04/??,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(*included on Before The Dead; Garcia, Nelson, Rothman; partial tape from spring '64; master tape box)"
I:,Jody's Hornpipe,,,,,
,Barefoot Nellie,,,,,
,Drink Up & Go Home*,,,,,
1964/04/12,Black Mountain Boys,KPFA Member Party,Melville Residence,Los Gatos,CA,"(Garcia, Nelson, Rothman; KPFA folio)"
1964/04/14,Jerry Garcia,Dana Morgan's Music Store,,Palo Alto,CA,(Pete Grant banjo demonstration tape)
I:,Limehouse Blues,,,,,
,various Bill Keith and Eddie Adcock runs,,,,,
,Monroe's Hornpipe,,,,,
,Turkey In The Straw,,,,,
,Dixie Hoedown,,,,,
,Blue Grass Breakdown,,,,,
,Blackberry Blossom,,,,,
,various licks (mainly Adcock),,,,,
,Lonesome Road Blues,,,,,
,Salty Dog Blues,,,,,
,Devil's Dream,,,,,
,Red Wing,,,,,
,Silver Rainbow,,,,,
,Farewell Blues,,,,,
,Soldier's Joy,,,,,
,Raw Hide,,,,,
,Clinch Mountain Backstep,,,,,
,Little Liza Jane,,,,,
,Stony Creek,,,,,
,various Bill Keith material,,,,,
1964/05/01,Mother McCree's Uptown Jug Champions,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Bob Weir, Ron ""Pigpen"" McKernan, possibly others; official reopening of the Tangent after remodel; also Ken Carter)"
1964/05/02,Mother McCree's Uptown Jug Champions,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Weir, Pigpen, possibly others; official reopening of the Tangent after remodel; also Ken Carter)"
1964/05/18,"Jerry Garcia, Sandy Rothman and Scott Hambly",Tyndall Air Force Base,,Panama City,FL,"(performance at the NCO officer's club while visiting Scott on duty; joined by an unnamed fiddler from Scott's company; Scott Hambly was the mandolinist for the Redwood Canyon Ramblers, the Bay Area's first bluegrass band)"
